id_evento,municipio_referencia,region,latitud,longitud,canal,monto_estimado,fecha
1,La Unión,Oriente,13.34079,-87.841485,App,166,2026-08-03
2,San Miguel,Oriente,13.493469,-88.185016,Web,1193,2026-08-04
3,San Miguel,Oriente,13.460085,-88.194996,App,908,2026-08-08
4,Usulután,Oriente,13.359445,-88.444906,Web,157,2026-08-19
5,San Salvador,Centro,13.704186,-89.234023,Web,1175,2026-08-19
6,Apopa,Centro,13.815845,-89.17598,Tienda física,628,2026-08-28
7,Santa Tecla,Centro,13.686826,-89.269499,App,624,2026-08-04
8,La Unión,Oriente,13.341632,-87.843696,App,1131,2026-08-29
9,Ahuachapán,Occidente,13.919753,-89.837816,Tienda física,1146,2026-08-29
10,Apopa,Centro,13.803013,-89.173621,Call center,1030,2026-08-31
11,San Salvador,Centro,13.692026,-89.229594,App,608,2026-08-18
12,Soyapango,Centro,13.703037,-89.128679,Tienda física,705,2026-08-24
13,Apopa,Centro,13.80831,-89.171679,Web,342,2026-08-10
14,San Miguel,Oriente,13.470338,-88.179007,Tienda física,857,2026-08-16
15,Ahuachapán,Occidente,13.928129,-89.866723,Web,344,2026-08-24
16,Zacatecoluca,Paracentral,13.522313,-88.866413,Web,968,2026-08-01
17,Mejicanos,Centro,13.749663,-89.213384,App,1069,2026-08-15
18,Santa Tecla,Centro,13.668654,-89.288974,Web,91,2026-08-25
19,San Miguel,Oriente,13.480458,-88.181502,App,94,2026-08-15
20,Usulután,Oriente,13.351691,-88.460717,Web,935,2026-08-12
21,Santa Ana,Occidente,13.990182,-89.560272,Tienda física,273,2026-08-30
22,Usulután,Oriente,13.356224,-88.424273,Tienda física,1172,2026-08-28
23,Mejicanos,Centro,13.746807,-89.227095,Tienda física,338,2026-08-26
24,Santa Ana,Occidente,13.970313,-89.568962,App,229,2026-08-02
25,Mejicanos,Centro,13.759136,-89.215232,App,1124,2026-08-01
26,San Salvador,Centro,13.690445,-89.192734,Web,334,2026-08-16
27,Santa Tecla,Centro,13.68929,-89.28786,App,408,2026-08-30
28,San Salvador,Centro,13.689739,-89.221049,App,615,2026-08-07
29,Ahuachapán,Occidente,13.943864,-89.850875,Tienda física,105,2026-08-22
30,Apopa,Centro,13.782074,-89.184581,Web,769,2026-08-26
31,Mejicanos,Centro,13.740769,-89.173156,Tienda física,758,2026-08-16
32,Zacatecoluca,Paracentral,13.51771,-88.869129,Web,1131,2026-08-24
